kategori;jämförelse;enhet;jämförelsefråga;deltafråga;alt1_namn;alt1_tal;alt2_namn;alt2_tal
musik;flest;miljoner;Vilken grupp har sålt flest album, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har sålt flest album, {alt1_tal} {enhet}. Hur många färre {enhet} album har {alt2_namn} sålt?;ABBA;400;Roxette;75
historia;först;årtal;Vilken svensk kung abdikerade först, {alt1_namn} eller {alt2_namn}?;{alt1_namn} abdikerade {alt1_tal}. Hur många {enhet} senare abdikerade {alt2_namn}?;Gustav Vasa;1560;Karl XII;1718
historia;först;årtal;Vilken händelse inträffade först, {alt1_namn} eller {alt2_namn}?;{alt1_namn} inträffade först, år {alt1_tal}. Hur många år senare inträffade {alt2_namn}?;Stockholms blodbad;1520;Gustav Vasas kröning;1523
livsmedel;först;årtal;Vilken svensk maträtt introducerades först, {alt1_namn} eller {alt2_namn}?;{alt1_namn} introducerades först, år {alt1_tal}. Hur många år senare introducerades {alt2_namn}?;surströmming;1540;köttbullar;1730
historia;först;årtal;Vilken nordisk stad grundades först, {alt1_namn} eller {alt2_namn}?;{alt2_namn} grundades först, år {alt2_tal}. Hur många år senare grundades {alt1_namn}?;Oslo;1000;Reykjavik;800
gourmet;flest;antal;Vilket land har flest Michelin-stjärnor i Norden 2023, {alt1_namn} eller {alt2_namn}?;{alt1_namn} hade flest Michelin stjärnor i Norden 2023, {alt1_tal} stycken. Hur många färre hade {alt1_namn}?;Danmark;44;Sverige;20
musik;flest;miljoner;Vilken svensk artist hade flest Spotify-streams 2023, {alt1_namn} eller {alt2_namn}?;{alt2_namn} artist hade flest Spotify-streams 2023, {alt2_tal} {enhet}. Hur många {enhet} färre hade {alt1_namn}?;Veronica Maggio;1000;Zara Larsson;1500
kändisar;längst;cm;Vem är längst av {alt1_namn} och {alt2_namn}?;{alt1_namn} är längst, {alt1_tal} cm. Hur många cm kortare är {alt2_namn}?;Zlatan Ibrahimović;195;Cristiano Ronaldo;187
musik;flest;antal;Vem hade vunnit flest Grammies 2023, {alt1_namn} eller {alt2_namn}?;{alt1_namn} hade vunnit flest Grammies 2023, an {alt1_tal} stycken. Hur många färre hade {alt2_namn} vunnit?;Beyoncé;32;Taylor Swift;12
film & teve;flest;antal;Vem har flest Oscar-nomineringar, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har flest Oscar-nomineringar. {alt1_tal} stycken. Hur många färre har {alt2_namn}?;Meryl Streep;21;Katharine Hepburn;12
kändisar;äldst;årtal;Vem är äldst av {alt1_namn} och {alt2_namn}?;{alt2_namn} är äldst, född {alt2_tal}. Hur många år yngre är {alt1_namn}?;Elon Musk;1971;Jeff Bezos;1964
anatomi;längst;mm;Vilken är längst av {alt1_namn} och {alt2_namn}?;{alt1_namn} är längst, {alt1_tal} {enhet}. Hur många mm kortare är {alt2_namn}?;tunntarmen;3500;tjocktarmen;1500
kändisar;äldst;årtal;Vem är äldst av {alt1_namn} och {alt2_namn}?;{alt1_namn} äldst, född {alt1_tal}. Hur många år yngre är {alt2_namn}?;Håkan Hellström;1974;Oskar Linnros;1982
kändisar;äldst;årtal;Vem är äldst av {alt1_namn} och {alt2_namn}?;{alt2_namn} äldst, född {alt2_tal}. Hur många år yngre är {alt1_namn}?;Zara Larsson;1997;Molly Sandén;1992
